2025-09-29 20:39:46 | INFO | reservation | login.py:69 | DF Update [row=0, col=heure]: '' -> '10:00 AM'
2025-09-29 20:39:46 | INFO | reservation | login.py:69 | DF Update [row=0, col=date_reservation]: '' -> '02/10/2025'
2025-09-29 20:39:47 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:40:12 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:40:44 | INFO | reservation | login.py:391 | [privacy] Consent sheet detected; accepting…
2025-09-29 20:40:45 | INFO | reservation | login.py:417 | [privacy] Consent accepted.
2025-09-29 20:40:51 | INFO | reservation | login.py:388 | [privacy] Consent sheet not present.
2025-09-29 20:40:51 | INFO | reservation | login.py:475 | [make_reservation] Start for row 0 (passport=E6103353)
2025-09-29 20:40:51 | INFO | reservation | login.py:485 | [make_reservation] Gender normalized: F
2025-09-29 20:40:58 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:40:58 | INFO | reservation | login.py:69 | DF Update [row=0, col=gender]: 'Femme' -> 'F'
2025-09-29 20:41:02 | INFO | reservation | login.py:356 | Trying to find element with text '2'
2025-09-29 20:41:04 | INFO | reservation | login.py:360 | Tapping '2' at (450, 901)
2025-09-29 20:41:06 | INFO | reservation | login.py:364 | Successfully selected '2'
2025-09-29 20:41:08 | INFO | reservation | login.py:585 | Timeslots found: ['12:20 AM', '12:40 AM', '01:00 AM', '06:20 AM', '06:40 AM', '07:00 AM']
2025-09-29 20:41:08 | INFO | reservation | login.py:457 | Pre-book check: label='Thursday, 02 October' | expect day in ['02', '2'] and month='october' -> True/True
2025-09-29 20:41:10 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:41:10 | INFO | reservation | login.py:69 | DF Update [row=0, col=RESERVATION]: '0' -> '1'
2025-09-29 20:41:10 | INFO | reservation | login.py:69 | DF Update [row=0, col=heure]: '' -> '10:00 AM'
2025-09-29 20:41:10 | INFO | reservation | login.py:69 | DF Update [row=0, col=date_reservation]: '' -> '02/10/2025'
2025-09-29 20:41:11 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:41:47 | INFO | reservation | login.py:391 | [privacy] Consent sheet detected; accepting…
2025-09-29 20:41:48 | INFO | reservation | login.py:417 | [privacy] Consent accepted.
2025-09-29 20:41:54 | INFO | reservation | login.py:388 | [privacy] Consent sheet not present.
2025-09-29 20:41:54 | INFO | reservation | login.py:475 | [make_reservation] Start for row 0 (passport=E6103581)
2025-09-29 20:41:54 | INFO | reservation | login.py:485 | [make_reservation] Gender normalized: F
2025-09-29 20:42:01 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:42:01 | INFO | reservation | login.py:69 | DF Update [row=0, col=gender]: 'Femme' -> 'F'
2025-09-29 20:42:05 | INFO | reservation | login.py:356 | Trying to find element with text '2'
2025-09-29 20:42:07 | INFO | reservation | login.py:360 | Tapping '2' at (450, 924)
2025-09-29 20:42:09 | INFO | reservation | login.py:364 | Successfully selected '2'
2025-09-29 20:42:11 | INFO | reservation | login.py:585 | Timeslots found: ['12:20 AM', '12:40 AM', '01:00 AM', '06:20 AM', '06:40 AM', '07:00 AM']
2025-09-29 20:42:11 | INFO | reservation | login.py:457 | Pre-book check: label='Thursday, 02 October' | expect day in ['02', '2'] and month='october' -> True/True
2025-09-29 20:42:13 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:42:13 | INFO | reservation | login.py:69 | DF Update [row=0, col=RESERVATION]: '0' -> '1'
2025-09-29 20:42:13 | INFO | reservation | login.py:69 | DF Update [row=0, col=heure]: '' -> '10:00 AM'
2025-09-29 20:42:13 | INFO | reservation | login.py:69 | DF Update [row=0, col=date_reservation]: '' -> '02/10/2025'
2025-09-29 20:42:14 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:42:39 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:43:14 | INFO | reservation | login.py:391 | [privacy] Consent sheet detected; accepting…
2025-09-29 20:43:15 | INFO | reservation | login.py:417 | [privacy] Consent accepted.
2025-09-29 20:43:21 | INFO | reservation | login.py:388 | [privacy] Consent sheet not present.
2025-09-29 20:43:21 | INFO | reservation | login.py:475 | [make_reservation] Start for row 0 (passport=E1765376)
2025-09-29 20:43:22 | INFO | reservation | login.py:485 | [make_reservation] Gender normalized: F
2025-09-29 20:43:29 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:43:29 | INFO | reservation | login.py:69 | DF Update [row=0, col=gender]: 'Femme' -> 'F'
2025-09-29 20:43:32 | INFO | reservation | login.py:356 | Trying to find element with text '2'
2025-09-29 20:43:34 | INFO | reservation | login.py:360 | Tapping '2' at (450, 891)
2025-09-29 20:43:36 | INFO | reservation | login.py:364 | Successfully selected '2'
2025-09-29 20:43:38 | INFO | reservation | login.py:585 | Timeslots found: ['12:20 AM', '12:40 AM', '01:00 AM', '06:20 AM', '06:40 AM', '07:00 AM']
2025-09-29 20:43:38 | INFO | reservation | login.py:457 | Pre-book check: label='Thursday, 02 October' | expect day in ['02', '2'] and month='october' -> True/True
2025-09-29 20:43:40 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:43:40 | INFO | reservation | login.py:69 | DF Update [row=0, col=RESERVATION]: '0' -> '1'
2025-09-29 20:43:40 | INFO | reservation | login.py:69 | DF Update [row=0, col=heure]: '' -> '10:00 AM'
2025-09-29 20:43:40 | INFO | reservation | login.py:69 | DF Update [row=0, col=date_reservation]: '' -> '02/10/2025'
2025-09-29 20:43:41 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:44:05 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:44:37 | INFO | reservation | login.py:391 | [privacy] Consent sheet detected; accepting…
2025-09-29 20:44:38 | INFO | reservation | login.py:417 | [privacy] Consent accepted.
2025-09-29 20:44:44 | INFO | reservation | login.py:388 | [privacy] Consent sheet not present.
2025-09-29 20:44:44 | INFO | reservation | login.py:475 | [make_reservation] Start for row 0 (passport=E6103571)
2025-09-29 20:44:44 | INFO | reservation | login.py:485 | [make_reservation] Gender normalized: F
2025-09-29 20:44:51 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:44:51 | INFO | reservation | login.py:69 | DF Update [row=0, col=gender]: 'Femme' -> 'F'
2025-09-29 20:44:54 | INFO | reservation | login.py:356 | Trying to find element with text '2'
2025-09-29 20:44:57 | INFO | reservation | login.py:360 | Tapping '2' at (450, 912)
2025-09-29 20:44:59 | INFO | reservation | login.py:364 | Successfully selected '2'
2025-09-29 20:45:00 | INFO | reservation | login.py:585 | Timeslots found: ['12:20 AM', '12:40 AM', '01:00 AM', '06:20 AM', '06:40 AM', '07:00 AM']
2025-09-29 20:45:01 | INFO | reservation | login.py:457 | Pre-book check: label='Thursday, 02 October' | expect day in ['02', '2'] and month='october' -> True/True
2025-09-29 20:45:03 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
2025-09-29 20:45:03 | INFO | reservation | login.py:69 | DF Update [row=0, col=RESERVATION]: '0' -> '1'
2025-09-29 20:45:03 | INFO | reservation | login.py:69 | DF Update [row=0, col=heure]: '' -> '10:00 AM'
2025-09-29 20:45:03 | INFO | reservation | login.py:69 | DF Update [row=0, col=date_reservation]: '' -> '02/10/2025'
2025-09-29 20:45:04 | INFO | reservation | login.py:111 | Driver settings updated: waitForIdleTimeout=0, ignoreUnimportantViews=True
2025-09-29 20:45:35 | INFO | reservation | login.py:391 | [privacy] Consent sheet detected; accepting…
2025-09-29 20:45:36 | INFO | reservation | login.py:417 | [privacy] Consent accepted.
2025-09-29 20:45:42 | INFO | reservation | login.py:388 | [privacy] Consent sheet not present.
2025-09-29 20:45:42 | INFO | reservation | login.py:475 | [make_reservation] Start for row 0 (passport=E6103579)
2025-09-29 20:45:42 | INFO | reservation | login.py:485 | [make_reservation] Gender normalized: F
2025-09-29 20:45:49 | INFO | reservation | login.py:69 | DF Update [row=0, col=CREATION]: '1' -> '1'
